sample_id,text_type,label,attack_percentage,snr
142,paraphrased,1,0.1,2.064342654729101
143,mixed_text,1,0.1,1.4789035717867998
144,human_baseline,0,0.1,0.906351026604765
145,original_ai,1,0.1,1.2287384114805229
146,translated,1,0.1,1.2403596712290197
147,substituted,1,0.1,1.2679061468253725
148,paraphrased,1,0.1,1.586977234465048
149,mixed_text,1,0.1,0.9581668848276034
150,human_baseline,0,0.1,0.8918551805433541
151,original_ai,1,0.1,2.119315742351947
152,translated,1,0.1,1.2703285557673762
153,substituted,1,0.1,1.486379602507212
154,paraphrased,1,0.1,1.5172111281539755
155,mixed_text,1,0.1,1.4327794780471848
156,human_baseline,0,0.1,1.0465741513670197
157,original_ai,1,0.1,2.4869230145023304
158,translated,1,0.1,2.2437365314748563
159,substituted,1,0.1,2.10313851202348
160,paraphrased,1,0.1,2.039956912518176
161,mixed_text,1,0.1,1.9205215522893693
162,human_baseline,0,0.1,0.8464140262117811
163,original_ai,1,0.1,1.9891606190176756
164,translated,1,0.1,1.875534990254947
165,substituted,1,0.1,1.6324749167339867
166,paraphrased,1,0.1,1.8082034561220917
167,mixed_text,1,0.1,1.421751441383776
168,human_baseline,0,0.1,1.2129897075107012
169,original_ai,1,0.1,2.214580546418611
170,translated,1,0.1,1.9960308120878232
171,substituted,1,0.1,1.5513024623671248
172,paraphrased,1,0.1,0.8550903921643316
173,mixed_text,1,0.1,2.02767007429806
174,human_baseline,0,0.1,1.0126840013821716
175,original_ai,1,0.1,2.0406748321874275
176,translated,1,0.1,1.7903222358723194
177,substituted,1,0.1,1.3600940602417766
178,paraphrased,1,0.1,1.454681993337383
179,mixed_text,1,0.1,1.2938123516566051
180,human_baseline,0,0.1,1.067069771966284
181,original_ai,1,0.1,2.043448022550581
182,translated,1,0.1,1.450602777666445
183,substituted,1,0.1,1.439230244959304
184,paraphrased,1,0.1,1.764017428313188
185,mixed_text,1,0.1,2.1571586331150763
186,human_baseline,0,0.1,0.7715341142838895
187,original_ai,1,0.1,2.1859726407158613
188,translated,1,0.1,2.137255236066051
189,substituted,1,0.1,1.9896450093643312
190,paraphrased,1,0.1,1.198512715395872
191,mixed_text,1,0.1,2.236507685483918
192,human_baseline,0,0.1,0.6656000979580519
193,original_ai,1,0.1,2.3415892018253945
194,translated,1,0.1,1.4821031097303607
195,substituted,1,0.1,1.412761195900909
196,paraphrased,1,0.1,2.158443823028858
197,mixed_text,1,0.1,1.3398985848456626
198,human_baseline,0,0.1,1.4424890347819077
199,original_ai,1,0.1,2.3899642764267908
200,translated,1,0.1,1.5106000955398513
201,substituted,1,0.1,1.5201513951587855
202,paraphrased,1,0.1,1.8457426283682643
203,mixed_text,1,0.1,1.625690146653114
204,human_baseline,0,0.1,0.9103716781315396
205,original_ai,1,0.1,2.100719298105695
206,translated,1,0.1,2.058825918904017
207,substituted,1,0.1,1.5670970423512485
208,paraphrased,1,0.1,1.5613417748414826
209,mixed_text,1,0.1,2.113692112287796
210,human_baseline,0,0.1,0.8769083184702197
211,original_ai,1,0.1,4.578744665810345
212,translated,1,0.1,2.4818333644288884
213,substituted,1,0.1,2.233308848066117
214,paraphrased,1,0.1,2.310885538691318
215,mixed_text,1,0.1,1.6524291454675848
216,human_baseline,0,0.1,1.0040121336566037
217,original_ai,1,0.1,1.7055103519444776
218,translated,1,0.1,1.4570220693009683
219,substituted,1,0.1,1.5580485554101755
220,paraphrased,1,0.1,1.3291264862223535
221,mixed_text,1,0.1,1.348856674490844
222,human_baseline,0,0.1,1.236835750244353
223,original_ai,1,0.1,1.110411188724176
224,translated,1,0.1,1.0168902998476477
225,substituted,1,0.1,1.0084540270017577
226,paraphrased,1,0.1,0.9879907395190528
227,mixed_text,1,0.1,1.1154841158535096
228,human_baseline,0,0.1,0.7242678955977978
229,original_ai,1,0.1,1.0884267934709344
230,translated,1,0.1,0.868647543601319
231,substituted,1,0.1,1.2708592561457952
232,paraphrased,1,0.1,0.8761649111010028
233,mixed_text,1,0.1,0.9779426620108812
234,human_baseline,0,0.1,2.0403572099741765
235,original_ai,1,0.1,1.337755432836173
236,translated,1,0.1,1.1830844405394765
237,substituted,1,0.1,1.367663271405008
238,paraphrased,1,0.1,1.1240233026316668
239,mixed_text,1,0.1,1.5077256773339025
240,human_baseline,0,0.1,1.1594101103042067
241,original_ai,1,0.1,2.3313609090343745
242,translated,1,0.1,1.6707415437817903
243,substituted,1,0.1,1.5098562218606972
244,paraphrased,1,0.1,1.6814778436754994
245,mixed_text,1,0.1,1.482983303695241
246,human_baseline,0,0.1,0.8322095149518584
247,original_ai,1,0.1,3.122659054527708
248,translated,1,0.1,3.179680499620902
249,substituted,1,0.1,2.557416891597524
250,paraphrased,1,0.1,2.445771867411667
251,mixed_text,1,0.1,2.4161332363937773
252,human_baseline,0,0.1,0.765968102049844
253,original_ai,1,0.1,1.257474740503076
254,translated,1,0.1,1.2302089065320572
255,substituted,1,0.1,1.0431030400191372
256,paraphrased,1,0.1,1.1464570330562849
257,mixed_text,1,0.1,1.2133284311658792
258,human_baseline,0,0.1,0.7833817199488304
259,original_ai,1,0.1,2.1645971949661966
260,translated,1,0.1,1.7674237538248974
261,substituted,1,0.1,1.564202591131881
262,paraphrased,1,0.1,1.7272647118670477
263,mixed_text,1,0.1,1.3404824361702143
264,human_baseline,0,0.1,1.3316942284383462
265,original_ai,1,0.1,1.7212579898545668
266,translated,1,0.1,1.7042905927616685
267,substituted,1,0.1,1.52045340174256
268,paraphrased,1,0.1,2.069238853754144
269,mixed_text,1,0.1,2.310995275489158
270,human_baseline,0,0.1,1.0589409411659376
271,original_ai,1,0.1,2.2923205594700464
272,translated,1,0.1,2.129899708573705
273,substituted,1,0.1,1.670392761548407
274,paraphrased,1,0.1,1.616996617286095
275,mixed_text,1,0.1,2.03066288307732
276,human_baseline,0,0.1,1.019755546563738
277,original_ai,1,0.1,1.4069091198982535
278,translated,1,0.1,1.536668407657023
279,substituted,1,0.1,1.2721431332468869
280,paraphrased,1,0.1,1.3105105743048269
281,mixed_text,1,0.1,1.1370515810884985
282,human_baseline,0,0.1,0.7093144104049721
283,original_ai,1,0.1,1.112036591804593
284,translated,1,0.1,0.998709692499701
285,substituted,1,0.1,1.0020415667587363
286,paraphrased,1,0.1,1.149332053420404
287,mixed_text,1,0.1,0.8854193848607299
288,human_baseline,0,0.1,0.8817880677135516
289,original_ai,1,0.1,2.521745935941901
290,translated,1,0.1,1.967759115420926
291,substituted,1,0.1,1.9519493435356807
292,paraphrased,1,0.1,1.517331583406906
293,mixed_text,1,0.1,1.872900180522835
294,human_baseline,0,0.1,1.1143804757942728
295,original_ai,1,0.1,1.5765941066169855
296,translated,1,0.1,1.9908823162473803
297,substituted,1,0.1,1.313601365911098
298,paraphrased,1,0.1,0.8346882344895602
299,mixed_text,1,0.1,1.5990286213157303
300,human_baseline,0,0.1,1.0988104742632323
301,original_ai,1,0.1,1.808946243547917
302,translated,1,0.1,1.451942217848003
303,substituted,1,0.1,1.7114358412725197
304,paraphrased,1,0.1,1.595287469213811
305,mixed_text,1,0.1,1.4140961240837668
306,human_baseline,0,0.1,0.7494876004401323
307,original_ai,1,0.1,1.5499642935977893
308,translated,1,0.1,1.3050562712183087
309,substituted,1,0.1,1.301156106825173
310,paraphrased,1,0.1,1.7750503329772345
311,mixed_text,1,0.1,1.254281051460692
312,human_baseline,0,0.1,1.5513264808657985
313,original_ai,1,0.1,1.85140050578753
314,translated,1,0.1,1.8109324398777944
315,substituted,1,0.1,1.7150291417477306
316,paraphrased,1,0.1,0.8382987449448773
317,mixed_text,1,0.1,1.9451148371146485
318,human_baseline,0,0.1,0.7008875346905604
319,original_ai,1,0.1,2.432600853649648
320,translated,1,0.1,1.6681527538249554
321,substituted,1,0.1,1.7805251172909546
322,paraphrased,1,0.1,1.6946573315478046
323,mixed_text,1,0.1,1.025308646647955
324,human_baseline,0,0.1,1.0543603959998191
325,original_ai,1,0.1,2.036695065225349
326,translated,1,0.1,1.767134898282764
327,substituted,1,0.1,1.6891963468423294
328,paraphrased,1,0.1,1.3135255901921523
329,mixed_text,1,0.1,1.6863788170278975
330,human_baseline,0,0.1,1.0914195603665393
331,original_ai,1,0.1,1.998925598792704
332,translated,1,0.1,1.643064106086262
333,substituted,1,0.1,1.909825202881416
334,paraphrased,1,0.1,1.686409142419862
335,mixed_text,1,0.1,1.6853553440290665
336,human_baseline,0,0.1,0.8984717255582307
337,original_ai,1,0.1,1.8885826317322816
338,translated,1,0.1,1.5635042770806944
339,substituted,1,0.1,1.8744767493593628
340,paraphrased,1,0.1,1.1883464629848308
341,mixed_text,1,0.1,1.5180186799936906
342,human_baseline,0,0.1,1.2082003149235427
343,original_ai,1,0.1,1.3027250796561107
344,translated,1,0.1,1.05926093138414
345,substituted,1,0.1,1.1484520919612058
346,paraphrased,1,0.1,1.1377079272301276
347,mixed_text,1,0.1,1.277317637908089
348,human_baseline,0,0.1,1.021258748410062
349,original_ai,1,0.1,1.9604535085792807
350,translated,1,0.1,1.6553981901867505
351,substituted,1,0.1,1.406147510046858
352,paraphrased,1,0.1,1.330991131689196
353,mixed_text,1,0.1,1.7304630873482667
354,human_baseline,0,0.1,1.3250990659642905
355,original_ai,1,0.1,1.8384369145853885
356,translated,1,0.1,1.756082623514185
357,substituted,1,0.1,1.4162705171813326
358,paraphrased,1,0.1,0.958268941314354
359,mixed_text,1,0.1,1.5571380032890405
360,human_baseline,0,0.1,0.798575154005456
361,original_ai,1,0.1,2.1477418616132384
362,translated,1,0.1,1.6561734796847032
363,substituted,1,0.1,1.4907675722115852
364,paraphrased,1,0.1,2.201480882700702
365,mixed_text,1,0.1,1.352197028177193
366,human_baseline,0,0.1,1.115481911417728
367,original_ai,1,0.1,1.8814376080376385
368,translated,1,0.1,2.283707349387538
369,substituted,1,0.1,1.242238406395532
370,paraphrased,1,0.1,1.967528815972108
371,mixed_text,1,0.1,2.273413855829421
372,human_baseline,0,0.1,1.3510231668077777
373,original_ai,1,0.1,1.296229168310877
374,translated,1,0.1,1.295106808741721
375,substituted,1,0.1,1.4485438422054393
376,paraphrased,1,0.1,1.1819481267524965
377,mixed_text,1,0.1,1.1422008368486676
378,human_baseline,0,0.1,0.9352036441179378
379,original_ai,1,0.1,2.3404052370363777
380,translated,1,0.1,2.293999013851405
381,substituted,1,0.1,1.46089603861691
382,paraphrased,1,0.1,1.7396306040411085
383,mixed_text,1,0.1,2.2789620354860496
384,human_baseline,0,0.1,0.8779104331474479
385,original_ai,1,0.1,2.402073608393968
386,translated,1,0.1,1.6590995307898209
387,substituted,1,0.1,1.6233077960494238
388,paraphrased,1,0.1,1.4126147944636642
389,mixed_text,1,0.1,2.0640098871148784
390,human_baseline,0,0.1,0.9166687741449568
391,original_ai,1,0.1,2.316171008860942
392,translated,1,0.1,1.5440502106204193
393,substituted,1,0.1,2.371496492604153
394,paraphrased,1,0.1,1.3372996687070906
395,mixed_text,1,0.1,1.4376898479469395
396,human_baseline,0,0.1,0.8465904942624674
397,original_ai,1,0.1,1.4866700064847136
398,translated,1,0.1,1.274419467682209
399,substituted,1,0.1,1.4082952298535718
400,paraphrased,1,0.1,1.445900583983463
401,mixed_text,1,0.1,2.130406417150463
402,human_baseline,0,0.1,1.152633183107566
403,original_ai,1,0.1,1.2405300379530382
404,translated,1,0.1,1.1581642540927242
405,substituted,1,0.1,1.2009630906189486
406,paraphrased,1,0.1,1.0983277720745612
407,mixed_text,1,0.1,0.9782416441866106
408,human_baseline,0,0.1,0.91535643310507
409,original_ai,1,0.1,1.3615345262434626
410,translated,1,0.1,1.3555912360066775
411,substituted,1,0.1,1.2437521701178618
412,paraphrased,1,0.1,1.2874980746607758
413,mixed_text,1,0.1,1.439709885776082
414,human_baseline,0,0.1,0.7925306071146804
415,original_ai,1,0.1,3.239326446920557
416,translated,1,0.1,2.68782843642722
417,substituted,1,0.1,2.4994572695531976
418,paraphrased,1,0.1,2.0414819388288614
419,mixed_text,1,0.1,1.2941274647957053
420,human_baseline,0,0.1,0.9038607250630296
421,original_ai,1,0.1,2.539985188901816
422,translated,1,0.1,2.170572595818087
423,substituted,1,0.1,1.5692211325550514
424,paraphrased,1,0.1,1.6180281782415575
